name,country,primary,secondary,geol_type,access,lat,lon,scale_note,note,confidence,source
Salar de Uyuni,玻利维亚,Li,B/K,盐湖卤水,卤水抽取,-20.30,-66.90,世界最大卤水锂资源,高盐湖+盐壳,medium,YLB
Hombre Muerto,阿根廷,Li,K,盐湖卤水,卤水抽取,-25.30,-67.10,卤水锂,Livent/丰业,medium,公司披露
Greenbushes,澳大利亚西澳,Li,Ta/Sn,伟晶岩型(LCT),露天+地下,-33.86,116.05,全球最大硬岩锂矿,巨型LCT伟晶岩,high,Albemarle/Tianqi
Pilgangoora,澳大利亚西澳,Li,Ta,伟晶岩型(LCT),露天,-21.20,119.30,大型硬岩锂,Pilbara伟晶岩田,medium,Pilbara Minerals
Manono,刚果金,Li,Sn/Ta,伟晶岩型(LCT),露天,-7.50,26.90,巨型伟晶岩锂,东非伟晶岩带,medium,AVZ(开发中)
Bayan Obo,中国(内蒙古),REE,Fe/Nb,碳酸岩-热液交代,露天,41.78,109.90,全球最大轻稀土,白云鄂博Fe-Nb-REE,high,中国稀土/地调
Mountain Pass,美国加州,REE,—,碳酸岩型,露天,35.47,-115.52,美国最大稀土矿,碳酸岩,high,MP Materials
Mt Weld,澳大利亚西澳,REE,—,碳酸岩风化(磷灰石残余),露天,-28.90,122.40,高品位稀土,碳酸岩风化壳,medium,Lynas
南岭离子吸附型稀土,中国(赣南粤北),REE,Y,离子吸附型(风化壳),原地浸出,25.20,114.90,中重稀土主来源,花岗岩风化离子吸附,medium,中国稀土管理
Maoniuping,中国(四川冕宁),REE,Pb,碳酸岩型,露天,28.55,102.18,大型轻稀土,碳酸岩脉群,medium,中国地质
Bushveld 杂岩体,南非,PGE,Cr/Ni/Cu,层状镁铁质侵入体,地下,-24.90,28.90,全球>70% PGE,Merensky/UG2 层状矿,high,USGS/Amplats
Great Dyke,津巴布韦,PGE,Ni,层状岩墙,地下,-17.50,30.40,PGM层,古元古代层状岩墙,medium,行业综述
Stillwater,美国蒙大拿,PGE,Ni/Cu,层状镁铁质侵入体,地下,45.40,-109.90,北美唯一PGE主矿,层状杂岩体,medium,Sibanye
Athabasca (Cigar Lake/McArthur),加拿大(萨斯喀彻温),U,Ni,不整合面型,地下,58.30,-104.60,世界最高品位铀矿,元古宙不整合面,high,Cameco/Orano
Chu-Sarysu (Mynkuduk等),哈萨克斯坦,U,Re,砂岩型(地浸),原地浸出,45.40,66.60,全球最大产铀国主区,砂岩地浸ISL,high,Kazatomprom
Rössing/Husab,纳米比亚,U,—,白岗岩/碱性岩型,露天,-22.70,14.90,大型铀矿,纳米比亚白岗岩,medium,Rio/CNNC
Ranger,澳大利亚北领地,U,—,不整合面-蚀变型,露天,-12.68,132.90,已闭坑但富集,蚀变带铀,medium,ERA
Kimberley 金伯利岩筒,南非,Diamond,—,金伯利岩型(克拉通根),露天+地下,-28.74,24.77,经典金伯利岩,古克拉通深源金刚石,high,De Beers
Jwaneng,博茨瓦纳,Diamond,—,金伯利岩型,露天,-24.51,24.71,全球产值最高钻石矿,厚岩筒,high,De Beers
Orapa,博茨瓦纳,Diamond,—,金伯利岩型,露天,-21.30,25.36,大型岩筒,岩筒群,medium,De Beers
Argyle,澳大利亚(金伯利),Diamond,—,橄榄石-煌斑岩型(lamproite),露天+地下,-16.71,128.39,历史粉钻主源(已闭坑),lamproite,medium,Rio Tinto
Lac de Gras (Ekati/Diavik),加拿大(西北领地),Diamond,—,金伯利岩型(北克拉通),露天+地下,-64.50,-110.60,北半球高纬岩筒,Slave克拉通,medium,Rio/BHP
Mirny/Udachnaya,俄罗斯(萨哈),Diamond,—,金伯利岩型(西伯利亚克拉通),露天+地下,62.50,113.90,世界最大岩筒之一,西伯利亚克拉通,medium,Alrosa
Catoca,安哥拉,Diamond,—,金伯利岩型,露天,-9.40,20.30,大型岩筒,刚果克拉通,medium,Endiama
